date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:36	56508/56508	---M-Z	200	added ('OK')	font/ttf	etag:W/%2265ae38cd-dcbc%22	https://www.nisb.in/fonts/Product-Sans-Italic.ttf	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/fonts/Product-Sans-Italic.ttf	(from https://www.nisb.in/css/font.css)
19:08:36	56488/56488	---M-Z	200	added ('OK')	font/ttf	etag:W/%2265ae38cd-dca8%22	https://www.nisb.in/fonts/Product-Sans-Bold-Italic.ttf	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/fonts/Product-Sans-Bold-Italic.ttf	(from https://www.nisb.in/css/font.css)
19:08:36	55620/55620	---M-Z	200	added ('OK')	font/ttf	etag:W/%2265ae38cd-d944%22	https://www.nisb.in/fonts/Product-Sans-Thin.ttf	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/fonts/Product-Sans-Thin.ttf	(from https://www.nisb.in/css/font.css)
19:08:36	52/52	---MCZ	302	error ('Found')	text/plain	date:Mon,%2022%20Jan%202024%2013:38:35%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/My%20Web%20Sites/ieee_lakshin/unpkg.com/aos@next/dist/aos.css	(from https://www.nisb.in/content.html)
19:08:37	28765/28765	---MCZ	200	added ('OK')	text/css	etag:%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/My%20Web%20Sites/ieee_lakshin/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://www.nisb.in/content.html)
19:08:37	21200/21200	---M--	200	added ('OK')	text/javascript	date:Mon,%2012%20Apr%202021%2021:41:51%20GMT	https://www.gstatic.com/firebasejs/8.3.3/firebase-app.js	C:/My%20Web%20Sites/ieee_lakshin/www.gstatic.com/firebasejs/8.3.3/firebase-app.js	(from https://www.nisb.in/content.html)
19:08:38	35755/35755	---M--	200	added ('OK')	text/javascript	date:Mon,%2012%20Apr%202021%2021:41:51%20GMT	https://www.gstatic.com/firebasejs/8.3.3/firebase-analytics.js	C:/My%20Web%20Sites/ieee_lakshin/www.gstatic.com/firebasejs/8.3.3/firebase-analytics.js	(from https://www.nisb.in/content.html)
19:08:38	327124/327124	---M--	200	added ('OK')	text/javascript	date:Wed,%2031%20Mar%202021%2023:39:07%20GMT	https://www.gstatic.com/firebasejs/8.3.2/firebase-firestore.js	C:/My%20Web%20Sites/ieee_lakshin/www.gstatic.com/firebasejs/8.3.2/firebase-firestore.js	(from https://www.nisb.in/content.html)
19:08:39	50604/50604	---M--	200	added ('OK')	image/png	etag:%2265ae38cd-c5ac%22	https://www.nisb.in/assets/images/Condensed---White.png	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/images/Condensed---White.png	(from https://www.nisb.in/content.html)
19:08:39	5607/5607	---M-Z	200	added ('OK')	text/html	etag:W/%2265ae38cd-15e7%22	https://www.nisb.in/index.html	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/index-2.html	(from https://www.nisb.in/content.html)
